Entity,Code,Year,"Coffee, green | 00000656 || Yield | 005419 || tonnes per hectare"
Africa,,1961,0.4031257
Africa,,1962,0.33955243
Africa,,1963,0.3663293
Africa,,1964,0.41557208
Africa,,1965,0.37271443
Africa,,1966,0.39875823
Africa,,1967,0.35255468
Africa,,1968,0.3962087
Africa,,1969,0.41242352
Africa,,1970,0.423729
Africa,,1971,0.4023762
Africa,,1972,0.41492572
Africa,,1973,0.4256381
Africa,,1974,0.38798138
Africa,,1975,0.41691375
Africa,,1976,0.38244566
Africa,,1977,0.39403573
Africa,,1978,0.33839068
Africa,,1979,0.34893385
Africa,,1980,0.3616424
Africa,,1981,0.39560995
Africa,,1982,0.3619029
Africa,,1983,0.34371
Africa,,1984,0.32910514
Africa,,1985,0.37422577
Africa,,1986,0.40645075
Africa,,1987,0.4020527
Africa,,1988,0.38851365
Africa,,1989,0.41115
Africa,,1990,0.38662446
Africa,,1991,0.40246254
Africa,,1992,0.4274686
Africa,,1993,0.3699221
Africa,,1994,0.44073644
Africa,,1995,0.41319463
Africa,,1996,0.463835
Africa,,1997,0.44553062
Africa,,1998,0.43668744
Africa,,1999,0.4853642
Africa,,2000,0.4971904
Africa,,2001,0.49671292
Africa,,2002,0.54231393
Africa,,2003,0.43171212
Africa,,2004,0.42674944
Africa,,2005,0.4343992
Africa,,2006,0.43969965
Africa,,2007,0.41185167
Africa,,2008,0.44185245
Africa,,2009,0.42463267
Africa,,2010,0.46212158
Africa,,2011,0.5478549
Africa,,2012,0.40961882
Africa,,2013,0.43477347
Africa,,2014,0.42000118
Africa,,2015,0.38661626
Africa,,2016,0.40537697
Africa,,2017,0.47473112
Africa,,2018,0.39621925
Africa,,2019,0.38804603
Africa,,2020,0.40094712
Africa,,2021,0.39946598
Africa (FAO),,1961,0.40309998
Africa (FAO),,1962,0.3396
Africa (FAO),,1963,0.3663
Africa (FAO),,1964,0.4156
Africa (FAO),,1965,0.37269998
Africa (FAO),,1966,0.3988
Africa (FAO),,1967,0.35259998
Africa (FAO),,1968,0.3962
Africa (FAO),,1969,0.41239998
Africa (FAO),,1970,0.42369998
Africa (FAO),,1971,0.4024
Africa (FAO),,1972,0.41489998
Africa (FAO),,1973,0.4256
Africa (FAO),,1974,0.38799998
Africa (FAO),,1975,0.41689998
Africa (FAO),,1976,0.38239998
Africa (FAO),,1977,0.394
Africa (FAO),,1978,0.3384
Africa (FAO),,1979,0.3489
Africa (FAO),,1980,0.36159998
Africa (FAO),,1981,0.3956
Africa (FAO),,1982,0.3619
Africa (FAO),,1983,0.3437
Africa (FAO),,1984,0.32909998
Africa (FAO),,1985,0.3742
Africa (FAO),,1986,0.40649998
Africa (FAO),,1987,0.4021
Africa (FAO),,1988,0.3885
Africa (FAO),,1989,0.4112
Africa (FAO),,1990,0.3866
Africa (FAO),,1991,0.4025
Africa (FAO),,1992,0.42749998
Africa (FAO),,1993,0.3699
Africa (FAO),,1994,0.4407
Africa (FAO),,1995,0.4132
Africa (FAO),,1996,0.46379998
Africa (FAO),,1997,0.4455
Africa (FAO),,1998,0.4367
Africa (FAO),,1999,0.4854
Africa (FAO),,2000,0.49719998
Africa (FAO),,2001,0.4967
Africa (FAO),,2002,0.5423
Africa (FAO),,2003,0.4317
Africa (FAO),,2004,0.4267
Africa (FAO),,2005,0.4344
